state,district,stage,type,date,schools
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,2433
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,280
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,201
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,177
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,77
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,125
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,197
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,250
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,30
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,128
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,222
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,192
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,278
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,151
Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,104
Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,10
Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,1/1/2018,11
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,1/1/2018,32
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,1/1/2018,87
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,1/1/2018,28
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,1/1/2018,27
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,1/1/2018,12
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,1/1/2018,10
Johor,Muar,secondary,Sekolah Menengah Kerajaan,1/1/2018,25
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,1/1/2018,18
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,1/1/2018,25
